Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '19223.61', '0.04024827']],2023-01-13T15:27:42.061120Z
l2update,BTC-USD,[['buy', '19223.07', '0.05019570']],2023-01-13T15:27:42.063817Z
l2update,BTC-USD,[['buy', '19223.59', '0.04871546']],2023-01-13T15:27:42.065429Z
l2update,BTC-USD,[['sell', '19226.82', '0.01000000']],2023-01-13T15:27:42.065569Z
l2update,BTC-USD,[['buy', '19223.61', '0.03624827']],2023-01-13T15:27:42.065922Z
l2update,BTC-USD,[['buy', '19222.96', '0.02600745']],2023-01-13T15:27:42.070147Z
l2update,BTC-USD,[['buy', '19221.28', '0.00000000']],2023-01-13T15:27:42.072509Z
l2update,BTC-USD,[['buy', '19223.62', '0.00400000']],2023-01-13T15:27:42.074075Z
l2update,BTC-USD,[['buy', '19223.04', '0.05000000']],2023-01-13T15:27:42.074167Z
l2update,BTC-USD,[['buy', '19222.65', '0.13230658']],2023-01-13T15:27:42.074184Z
l2update,BTC-USD,[['buy', '19201.28', '0.64000000']],2023-01-13T15:27:42.079102Z
l2update,BTC-USD,[['buy', '19222.64', '0.00000000']],2023-01-13T15:27:42.079296Z
l2update,BTC-USD,[['buy', '19222.25', '0.06413259']],2023-01-13T15:27:42.082668Z
l2update,BTC-USD,[['buy', '19222.97', '0.05000000']],2023-01-13T15:27:42.086021Z
l2update,BTC-USD,[['sell', '19226.82', '0.00000000']],2023-01-13T15:27:42.089259Z
l2update,BTC-USD,[['buy', '19201.58', '0.32000000']],2023-01-13T15:27:42.089858Z
l2update,BTC-USD,[['buy', '19202.94', '0.02000000']],2023-01-13T15:27:42.089875Z
l2update,BTC-USD,[['sell', '19226.70', '0.00000000']],2023-01-13T15:27:42.089962Z
l2update,BTC-USD,[['sell', '19226.62', '0.04000000']],2023-01-13T15:27:42.091584Z
l2update,BTC-USD,[['sell', '19226.71', '0.00000000']],2023-01-13T15:27:42.092863Z
l2update,BTC-USD,[['sell', '19226.83', '0.00000000']],2023-01-13T15:27:42.095546Z
l2update,BTC-USD,[['buy', '19222.25', '0.03812505']],2023-01-13T15:27:42.099095Z
l2update,BTC-USD,[['buy', '19223.53', '0.00000000']],2023-01-13T15:27:42.100386Z
l2update,BTC-USD,[['sell', '19228.13', '0.00000000']],2023-01-13T15:27:42.100900Z
l2update,BTC-USD,[['buy', '19202.36', '0.08000000']],2023-01-13T15:27:42.101364Z
l2update,BTC-USD,[['buy', '19202.65', '0.04000000']],2023-01-13T15:27:42.101422Z
l2update,BTC-USD,[['buy', '19197.63', '0.00000000']],2023-01-13T15:27:42.103611Z
l2update,BTC-USD,[['buy', '19223.60', '0.01500000']],2023-01-13T15:27:42.106088Z
l2update,BTC-USD,[['sell', '19229.33', '0.00000000']],2023-01-13T15:27:42.110678Z
l2update,BTC-USD,[['buy', '19223.05', '0.13230658']],2023-01-13T15:27:42.114252Z
l2update,BTC-USD,[['buy', '19211.94', '0.37500000']],2023-01-13T15:27:42.114268Z
l2update,BTC-USD,[['buy', '19224.29', '0.10027509']],2023-01-13T15:27:42.114506Z
l2update,BTC-USD,[['buy', '19222.97', '0.00000000']],2023-01-13T15:27:42.119659Z
l2update,BTC-USD,[['buy', '19223.58', '0.02000000']],2023-01-13T15:27:42.120753Z
l2update,BTC-USD,[['buy', '19222.96', '0.00000000']],2023-01-13T15:27:42.122067Z
l2update,BTC-USD,[['sell', '19229.32', '0.01442888']],2023-01-13T15:27:42.122710Z
l2update,BTC-USD,[['buy', '19223.06', '0.09412640']],2023-01-13T15:27:42.126643Z
l2update,BTC-USD,[['sell', '19229.72', '0.16905298']],2023-01-13T15:27:42.130630Z
l2update,BTC-USD,[['buy', '19221.19', '0.14402836']],2023-01-13T15:27:42.147053Z
l2update,BTC-USD,[['sell', '19226.63', '0.03000000']],2023-01-13T15:27:42.147099Z
l2update,BTC-USD,[['buy', '19223.32', '0.04881438']],2023-01-13T15:27:42.150849Z
l2update,BTC-USD,[['buy', '19223.32', '0.07482147']],2023-01-13T15:27:42.150964Z
l2update,BTC-USD,[['buy', '19224.29', '0.08800000']],2023-01-13T15:27:42.154801Z
l2update,BTC-USD,[['buy', '19223.60', '0.02727509']],2023-01-13T15:27:42.162142Z
l2update,BTC-USD,[['buy', '19223.36', '0.04476050']],2023-01-13T15:27:42.162228Z
l2update,BTC-USD,[['buy', '19198.63', '0.37141547']],2023-01-13T15:27:42.182052Z
l2update,BTC-USD,[['buy', '19222.65', '0.00000000']],2023-01-13T15:27:42.188434Z
l2update,BTC-USD,[['sell', '19227.33', '0.00000000']],2023-01-13T15:27:42.188555Z
l2update,BTC-USD,[['sell', '19226.61', '0.01000000']],2023-01-13T15:27:42.193471Z
l2update,BTC-USD,[['sell', '19227.37', '0.04267058']],2023-01-13T15:27:42.193584Z
l2update,BTC-USD,[['buy', '19223.61', '0.08576758']],2023-01-13T15:27:42.193598Z
l2update,BTC-USD,[['buy', '19223.05', '0.00000000']],2023-01-13T15:27:42.194395Z
l2update,BTC-USD,[['buy', '19223.32', '0.04881438']],2023-01-13T15:27:42.198476Z
l2update,BTC-USD,[['buy', '19223.32', '0.02280729']],2023-01-13T15:27:42.198542Z
l2update,BTC-USD,[['buy', '19220.23', '0.00000000']],2023-01-13T15:27:42.198794Z
l2update,BTC-USD,[['buy', '19223.04', '0.00000000']],2023-01-13T15:27:42.199181Z
l2update,BTC-USD,[['sell', '19227.37', '0.00060773']],2023-01-13T15:27:42.199257Z
l2update,BTC-USD,[['sell', '19227.41', '0.00000000']],2023-01-13T15:27:42.199257Z
l2update,BTC-USD,[['sell', '19227.43', '0.04593558']],2023-01-13T15:27:42.199257Z
l2update,BTC-USD,[['buy', '19223.61', '0.03624827']],2023-01-13T15:27:42.199897Z
l2update,BTC-USD,[['buy', '19221.19', '0.04000000']],2023-01-13T15:27:42.200301Z
l2update,BTC-USD,[['buy', '19223.61', '0.00000000']],2023-01-13T15:27:42.200558Z
l2update,BTC-USD,[['buy', '19223.06', '0.04412640']],2023-01-13T15:27:42.200675Z
l2update,BTC-USD,[['sell', '19231.08', '0.00000000']],2023-01-13T15:27:42.200729Z
l2update,BTC-USD,[['buy', '19223.36', '0.00000000']],2023-01-13T15:27:42.200740Z
l2update,BTC-USD,[['buy', '19223.59', '0.01000000']],2023-01-13T15:27:42.200791Z
l2update,BTC-USD,[['buy', '19223.05', '0.13230658']],2023-01-13T15:27:42.201582Z
l2update,BTC-USD,[['buy', '19223.08', '0.05000000']],2023-01-13T15:27:42.205527Z
l2update,BTC-USD,[['sell', '19227.39', '0.08385295']],2023-01-13T15:27:42.205607Z
