Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '18211.61', '0.00000000']],2023-01-12T04:39:05.358793Z
l2update,BTC-USD,[['sell', '18211.67', '0.04000000']],2023-01-12T04:39:05.445545Z
l2update,BTC-USD,[['buy', '18204.77', '0.54918672']],2023-01-12T04:39:05.474892Z
l2update,BTC-USD,[['buy', '18201.81', '0.77666732']],2023-01-12T04:39:05.474892Z
l2update,BTC-USD,[['buy', '18198.85', '1.09837344']],2023-01-12T04:39:05.474892Z
l2update,BTC-USD,[['buy', '18195.89', '1.56333462']],2023-01-12T04:39:05.474892Z
l2update,BTC-USD,[['buy', '18204.77', '0.27459336']],2023-01-12T04:39:05.620054Z
l2update,BTC-USD,[['buy', '18201.81', '0.38833366']],2023-01-12T04:39:05.620054Z
l2update,BTC-USD,[['buy', '18198.85', '0.54918672']],2023-01-12T04:39:05.620054Z
l2update,BTC-USD,[['buy', '18195.89', '0.78666731']],2023-01-12T04:39:05.620054Z
l2update,BTC-USD,[['sell', '18211.64', '0.04000000']],2023-01-12T04:39:05.686520Z
l2update,BTC-USD,[['sell', '18211.53', '0.06475467']],2023-01-12T04:39:05.754612Z
l2update,BTC-USD,[['sell', '18217.89', '0.10669099']],2023-01-12T04:39:05.778007Z
l2update,BTC-USD,[['sell', '18211.63', '0.03225461']],2023-01-12T04:39:05.796992Z
l2update,BTC-USD,[['sell', '18211.53', '0.00000000']],2023-01-12T04:39:05.895110Z
l2update,BTC-USD,[['sell', '18212.47', '0.00000000']],2023-01-12T04:39:05.912559Z
l2update,BTC-USD,[['sell', '18211.55', '0.03598566']],2023-01-12T04:39:05.917255Z
l2update,BTC-USD,[['sell', '18211.55', '0.06920097']],2023-01-12T04:39:05.920849Z
l2update,BTC-USD,[['buy', '18208.92', '0.00000000']],2023-01-12T04:39:05.940046Z
l2update,BTC-USD,[['sell', '18210.05', '0.08707042']],2023-01-12T04:39:05.943645Z
l2update,BTC-USD,[['buy', '18208.98', '0.02745764']],2023-01-12T04:39:05.947367Z
l2update,BTC-USD,[['sell', '18210.95', '0.12867799']],2023-01-12T04:39:05.947523Z
l2update,BTC-USD,[['sell', '18211.25', '0.12745685']],2023-01-12T04:39:05.947560Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:05.949255Z
l2update,BTC-USD,[['buy', '18208.84', '0.14982820']],2023-01-12T04:39:05.955235Z
l2update,BTC-USD,[['sell', '18210.93', '0.02745705']],2023-01-12T04:39:05.955385Z
