ticker,53023188462,BTC-USD,18138,17449.43,37298.48227610,17315.08,18375.68,636165.87888494,18136.34,0.04274000,18138.03,0.00888899,buy,2023-01-12T08:56:33.234825Z,482016642,0.00417299,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188464,BTC-USD,18138.03,17449.43,37298.49116509,17315.08,18375.68,636165.88777393,18136.34,0.04274000,18138.16,0.00648571,buy,2023-01-12T08:56:33.234825Z,482016643,0.00888899,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188466,BTC-USD,18138.16,17449.43,37298.49765080,17315.08,18375.68,636165.89425964,18136.34,0.04274000,18138.28,0.03642361,buy,2023-01-12T08:56:33.234825Z,482016644,0.00648571,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188468,BTC-USD,18138.28,17449.43,37298.53407441,17315.08,18375.68,636165.93068325,18136.34,0.04274000,18138.32,0.00773037,buy,2023-01-12T08:56:33.234825Z,482016645,0.03642361,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188470,BTC-USD,18138.32,17449.43,37298.54180478,17315.08,18375.68,636165.93841362,18136.34,0.04274000,18138.33,0.03768000,buy,2023-01-12T08:56:33.234825Z,482016646,0.00773037,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188472,BTC-USD,18138.33,17449.43,37298.57093478,17315.08,18375.68,636165.96754362,18136.34,0.04274000,18138.33,0.00855000,buy,2023-01-12T08:56:33.234825Z,482016647,0.02913,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188474,BTC-USD,18138.33,17449.43,37298.57948478,17315.08,18375.68,636165.97609362,18136.34,0.04274000,18138.52,0.01457602,buy,2023-01-12T08:56:33.234825Z,482016648,0.00855,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188476,BTC-USD,18138.52,17449.43,37298.59406080,17315.08,18375.68,636165.99066964,18136.34,0.04274000,18138.55,0.00452533,buy,2023-01-12T08:56:33.234825Z,482016649,0.01457602,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188478,BTC-USD,18138.55,17449.43,37298.59858613,17315.08,18375.68,636165.99519497,18136.34,0.04274000,18138.56,0.04887826,buy,2023-01-12T08:56:33.234825Z,482016650,0.00452533,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188480,BTC-USD,18138.56,17449.43,37298.64746439,17315.08,18375.68,636166.04407323,18136.34,0.04274000,18138.57,0.00452521,buy,2023-01-12T08:56:33.234825Z,482016651,0.04887826,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188482,BTC-USD,18138.57,17449.43,37298.65198960,17315.08,18375.68,636166.04859844,18136.34,0.04274000,18139.15,0.00434340,buy,2023-01-12T08:56:33.234825Z,482016652,0.00452521,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188507,BTC-USD,18138.2,17449.43,37298.79224772,17315.08,18375.68,636166.18885656,18136.34,0.04274000,18139.15,0.00434340,buy,2023-01-12T08:56:33.235946Z,482016653,0.14025812,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188509,BTC-USD,18139.15,17449.43,37298.79659112,17315.08,18375.68,636166.19319996,18136.34,0.04274000,18139.16,0.07800000,buy,2023-01-12T08:56:33.235946Z,482016654,0.0043434,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188511,BTC-USD,18139.16,17449.43,37298.87459112,17315.08,18375.68,636166.27119996,18136.34,0.04274000,18139.29,0.00665609,buy,2023-01-12T08:56:33.235946Z,482016655,0.078,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188551,BTC-USD,18139.85,17449.43,37298.94175846,17315.08,18375.68,636166.33836730,18136.34,0.04274000,18139.87,0.00896533,buy,2023-01-12T08:56:33.244405Z,482016656,0.06716734,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188553,BTC-USD,18139.87,17449.43,37298.95072379,17315.08,18375.68,636166.34733263,18136.34,0.04274000,18139.88,0.27563580,buy,2023-01-12T08:56:33.244405Z,482016657,0.00896533,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023188555,BTC-USD,18139.88,17449.43,37299.22635959,17315.08,18375.68,636166.62296843,18136.34,0.04274000,18140.22,0.02970203,buy,2023-01-12T08:56:33.244405Z,482016658,0.2756358,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190444,BTC-USD,18139.31,17449.43,37299.24046973,17315.08,18375.68,636166.63707857,18139.30,0.01331237,18139.31,0.08200000,buy,2023-01-12T08:56:35.614747Z,482016659,0.01411014,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190446,BTC-USD,18139.31,17449.43,37299.24846973,17315.08,18375.68,636166.64507857,18139.30,0.01331237,18139.31,0.07400000,buy,2023-01-12T08:56:35.614747Z,482016660,0.008,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190448,BTC-USD,18139.31,17449.43,37299.32246959,17315.08,18375.68,636166.71907843,18139.30,0.01331237,18139.31,0.00000014,buy,2023-01-12T08:56:35.614747Z,482016661,0.07399986,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190462,BTC-USD,18139.31,17449.43,37299.32246973,17315.08,18375.68,636166.71907857,18139.30,0.01331237,18139.34,0.04000000,buy,2023-01-12T08:56:35.626619Z,482016662,0.00000014,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190464,BTC-USD,18139.34,17449.43,37299.36246959,17315.08,18375.68,636166.75907843,18139.30,0.01331237,18139.34,0.00000014,buy,2023-01-12T08:56:35.626619Z,482016663,0.03999986,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190541,BTC-USD,18139.34,17449.43,37299.36246973,17315.08,18375.68,636166.75907857,18139.33,0.09812289,18139.34,0.01000000,buy,2023-01-12T08:56:35.758481Z,482016664,0.00000014,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190543,BTC-USD,18139.34,17449.43,37299.37246959,17315.08,18375.68,636166.76907843,18139.33,0.09812289,18139.34,0.00000014,buy,2023-01-12T08:56:35.758481Z,482016665,0.00999986,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190688,BTC-USD,18139.34,17449.43,37299.37246973,17315.08,18375.68,636166.76907857,18139.33,0.04423229,18139.43,0.04000000,buy,2023-01-12T08:56:36.664492Z,482016666,0.00000014,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190690,BTC-USD,18139.43,17449.43,37299.41246959,17315.08,18375.68,636166.80907843,18139.33,0.04423229,18139.43,0.00000014,buy,2023-01-12T08:56:36.664492Z,482016667,0.03999986,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190957,BTC-USD,18139.41,17449.43,37299.42559248,17315.08,18375.68,636166.82220132,18139.41,0.03285779,18139.42,0.05000000,sell,2023-01-12T08:56:38.024145Z,482016668,0.01312289,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190959,BTC-USD,18139.41,17449.43,37299.45559248,17315.08,18375.68,636166.85220132,18139.41,0.00285779,18139.42,0.05000000,sell,2023-01-12T08:56:38.024145Z,482016669,0.03,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
