Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '21165.05', '0.05522588']],2023-01-17T16:36:25.056947Z
l2update,BTC-USD,[['sell', '21165.08', '0.03378446']],2023-01-17T16:36:25.057384Z
l2update,BTC-USD,[['sell', '21165.05', '0.00447176']],2023-01-17T16:36:25.057573Z
l2update,BTC-USD,[['sell', '21165.08', '0.00000000']],2023-01-17T16:36:25.057763Z
l2update,BTC-USD,[['buy', '21160.93', '0.01000000']],2023-01-17T16:36:25.058279Z
l2update,BTC-USD,[['buy', '21158.68', '0.00229379']],2023-01-17T16:36:25.058716Z
l2update,BTC-USD,[['sell', '21165.03', '0.00000000']],2023-01-17T16:36:25.060744Z
l2update,BTC-USD,[['sell', '21165.05', '0.00000000']],2023-01-17T16:36:25.061184Z
l2update,BTC-USD,[['buy', '21160.94', '0.00400000']],2023-01-17T16:36:25.062669Z
l2update,BTC-USD,[['sell', '21165.07', '0.03350562']],2023-01-17T16:36:25.066653Z
l2update,BTC-USD,[['sell', '21164.76', '0.09450997']],2023-01-17T16:36:25.066745Z
l2update,BTC-USD,[['sell', '21164.76', '0.00000000']],2023-01-17T16:36:25.069402Z
l2update,BTC-USD,[['sell', '21165.06', '0.02825704']],2023-01-17T16:36:25.070758Z
l2update,BTC-USD,[['sell', '21165.07', '0.07845115']],2023-01-17T16:36:25.070782Z
l2update,BTC-USD,[['sell', '21165.05', '0.04757056']],2023-01-17T16:36:25.071199Z
l2update,BTC-USD,[['buy', '21158.71', '0.00225075']],2023-01-17T16:36:25.078615Z
l2update,BTC-USD,[['sell', '21164.75', '0.09450997']],2023-01-17T16:36:25.078810Z
l2update,BTC-USD,[['buy', '21158.72', '0.00112538']],2023-01-17T16:36:25.082990Z
l2update,BTC-USD,[['sell', '21165.05', '0.00000000']],2023-01-17T16:36:25.083304Z
l2update,BTC-USD,[['buy', '21158.72', '0.00000000']],2023-01-17T16:36:25.087896Z
l2update,BTC-USD,[['sell', '21165.06', '0.05204232']],2023-01-17T16:36:25.095127Z
l2update,BTC-USD,[['buy', '21158.72', '0.00112538']],2023-01-17T16:36:25.106638Z
l2update,BTC-USD,[['buy', '21156.16', '0.00000000']],2023-01-17T16:36:25.111737Z
l2update,BTC-USD,[['sell', '21198.32', '0.03716346']],2023-01-17T16:36:25.121304Z
l2update,BTC-USD,[['buy', '21043.95', '0.00000000']],2023-01-17T16:36:25.123749Z
l2update,BTC-USD,[['sell', '21164.75', '0.00000000']],2023-01-17T16:36:25.124812Z
l2update,BTC-USD,[['buy', '21054.25', '0.00000000']],2023-01-17T16:36:25.126225Z
l2update,BTC-USD,[['buy', '21064.06', '0.00000000']],2023-01-17T16:36:25.128577Z
l2update,BTC-USD,[['sell', '21165.06', '0.02378528']],2023-01-17T16:36:25.128985Z
l2update,BTC-USD,[['sell', '21165.06', '0.00000000']],2023-01-17T16:36:25.129382Z
l2update,BTC-USD,[['buy', '21070.35', '0.00000000']],2023-01-17T16:36:25.130670Z
l2update,BTC-USD,[['buy', '21085.16', '0.00000000']],2023-01-17T16:36:25.132846Z
l2update,BTC-USD,[['buy', '21158.72', '0.00000000']],2023-01-17T16:36:25.133744Z
l2update,BTC-USD,[['buy', '21093.43', '0.00000000']],2023-01-17T16:36:25.135008Z
l2update,BTC-USD,[['sell', '21164.36', '0.70167072']],2023-01-17T16:36:25.135061Z
l2update,BTC-USD,[['sell', '21277.28', '0.00000000']],2023-01-17T16:36:25.137475Z
l2update,BTC-USD,[['sell', '21165.06', '0.02378528']],2023-01-17T16:36:25.138572Z
l2update,BTC-USD,[['sell', '21165.06', '0.05204232']],2023-01-17T16:36:25.138765Z
l2update,BTC-USD,[['buy', '21101.23', '0.00000000']],2023-01-17T16:36:25.139910Z
l2update,BTC-USD,[['sell', '21267.05', '0.00000000']],2023-01-17T16:36:25.142425Z
l2update,BTC-USD,[['sell', '21257.30', '0.00000000']],2023-01-17T16:36:25.144752Z
l2update,BTC-USD,[['buy', '21108.57', '0.00000000']],2023-01-17T16:36:25.146917Z
l2update,BTC-USD,[['buy', '21158.72', '0.00112538']],2023-01-17T16:36:25.149116Z
